,RMSE Improvement (%),MAE Improvement (%),Pearson's r Improvement,R² Improvement
1D CNN,45.86092715231787,54.242695622971006,-0.35938200000000003,8.690988
LSTM,10.599131693198265,-2.93448912889016,0.42310899999999996,1.9829876666666673
GRU,-9.252723645849322,9.774182676103791,-0.8524999999999999,-2.0888176666666656
BiLSTM,-5.865057257814918,9.998286008112908,0.09600700000000001,-0.6322439999999983
CNN-LSTM,6.632895361722338,4.859736934000717,0.24588899999999997,1.6821376666666676
ANN,-23.631123919308365,-18.632205169224626,0.06734933333333334,-8.034730333333334
