datetime_utc,timestamp,site_id,HUMID,TEMP,PM2.5,PM10
2021-02-28,1614470400,1141.0,88.6661,21.3076,5.569555555555556,18.3352
2021-03-31,1617148800,1141.0,72.19483469945355,20.35364617486339,5.979391369047619,16.364774725274724
2021-04-30,1619740800,1141.0,67.46709078212291,17.31885335195531,9.43933073322933,19.79478881118881
2021-05-31,1622419200,1141.0,69.99519650067295,14.85563257065949,8.250880230880231,15.740845839017737
2021-06-30,1625011200,1141.0,73.05659944367177,12.20575799721836,7.688237951807229,13.518693935119888
2021-07-31,1627689600,1141.0,64.69074898236093,12.008310719131615,7.3649837758112096,13.18245306122449
2021-08-31,1630368000,1141.0,59.76082368775236,13.65092059219381,8.332736526946109,14.313085164835163
2021-09-30,1632960000,1141.0,59.05414184397163,16.02382411347518,5.320051987767584,13.440623733719248
2021-10-31,1635638400,1141.0,61.882587919463084,17.755124832214765,7.1682131661442,17.03245442176871
2021-11-30,1638230400,1141.0,71.48160138888889,18.552620833333336,4.987115384615385,15.204413940256044
2021-12-31,1640908800,1141.0,68.99352553763441,20.99494758064516,5.579252911813644,15.965516312056739
2022-01-31,1643587200,1141.0,72.8394318488529,23.296554655870445,5.198886850152905,16.588612466124662
2022-02-28,1646006400,1141.0,73.77708545727137,21.781443778110944,5.874672443674177,17.054409785932723
2022-03-31,1648684800,1141.0,79.14145161290323,20.552775537634407,4.7586308943089435,13.521008230452676
2022-04-30,1651276800,1141.0,75.31163091922006,18.506683844011143,5.9006519524618,12.29715782122905
2022-05-31,1653955200,1141.0,75.14995161290322,15.319272849462367,5.863174578866769,12.596095687331536
2022-06-30,1656547200,1141.0,63.99969985569986,11.793516594516595,6.809924137931034,12.212758321273515
2022-07-31,1659225600,1141.0,74.78643589743591,12.066793522267208,6.681520186335404,11.069698648648648
2022-08-31,1661904000,1141.0,65.15393413978495,13.611290322580643,7.121814310051107,11.491799457994581
2022-09-30,1664496000,1141.0,69.1806005625879,14.992575246132208,6.143117355371901,12.940489270386266
2022-10-31,1667174400,1141.0,70.16988590604028,17.73493154362416,4.513907232704402,11.71845
2022-11-30,1669766400,1141.0,60.01058635097493,18.37216713091922,5.391957446808511,13.99957946554149
2022-12-31,1672444800,1141.0,61.53344609164421,19.87620485175202,5.640389805097451,15.47971089385475
2023-01-31,1675123200,1141.0,72.25140970350405,21.845001347708894,5.334073637702503,15.010243169398906
2023-02-28,1677542400,1141.0,67.17335970149253,22.85370447761194,5.965383116883117,18.97578484848485
2023-03-31,1680220800,1141.0,68.31554704301075,22.267125000000004,6.335395136778115,18.109064649243468
2023-04-30,1682812800,1141.0,72.22426842837274,17.47959388038943,5.366747235387045,13.700604195804196
2023-05-31,1685491200,1141.0,63.893857142857144,13.535285714285715,7.651118741058655,15.500178231292516
2023-06-30,1688083200,1141.0,64.4383421418637,12.627105702364394,7.940312012480499,14.257641242937853
2023-07-31,1690761600,1141.0,65.82062314939435,13.066755047106327,8.356981741573033,15.267149394347241
2023-08-31,1693440000,1141.0,70.29930241935483,13.83925,8.22797640117994,14.931695355191257
2023-09-30,1696032000,1141.0,59.020612765957445,17.26014609929078,12.91820303030303,22.27807327586207
2023-10-31,1698710400,1141.0,57.960998650472334,18.677909581646425,7.227881703470032,18.183856948228883
2023-11-30,1701302400,1141.0,73.09782033426184,20.18125487465181,5.782512155591572,16.33553116147309
2023-12-31,1703980800,1141.0,69.91179014084507,23.089202816901405,7.285657487091221,19.70812946428571
