datetime_utc,timestamp,site_id,HUMID,TEMP,PM2.5,PM10
2021-02-28,1614470400,1141.0,88.6661,21.3076,5.569555555555556,18.3352
2021-03-01,1614556800,1141.0,66.566875,25.288124999999997,12.166652173913045,34.344434782608694
2021-03-02,1614643200,1141.0,58.344434782608694,19.950521739130433,8.284304347826087,25.429136363636363
2021-03-03,1614729600,1141.0,63.64525,18.72475,6.212130434782608,15.19708695652174
2021-03-04,1614816000,1141.0,60.290416666666665,21.963916666666666,7.31404347826087,17.318458333333332
2021-03-05,1614902400,1141.0,58.41008333333334,19.867208333333334,8.423458333333334,23.239874999999998
2021-03-06,1614988800,1141.0,59.276125,19.329166666666666,5.562124999999999,16.310958333333335
2021-03-07,1615075200,1141.0,70.86304166666666,21.48529166666667,5.32495652173913,19.698869565217393
2021-03-08,1615161600,1141.0,68.669125,23.53379166666667,6.182826086956522,16.101958333333332
2021-03-09,1615248000,1141.0,69.05621739130434,22.662347826086958,8.085791666666667,24.974958333333333
2021-03-10,1615334400,1141.0,71.00358333333334,21.907583333333335,5.3642916666666665,18.888791666666666
2021-03-11,1615420800,1141.0,81.04662499999999,22.194875,5.72791304347826,14.2495
2021-03-12,1615507200,1141.0,85.09020833333334,22.526916666666665,6.878583333333334,13.609250000000001
2021-03-13,1615593600,1141.0,73.338875,24.779833333333332,5.3066956521739135,13.707166666666666
2021-03-14,1615680000,1141.0,78.52891666666666,15.210500000000001,5.110739130434783,11.406958333333334
2021-03-15,1615766400,1141.0,62.624249999999996,17.963541666666668,5.087833333333333,15.139291666666667
2021-03-16,1615852800,1141.0,77.62516666666666,19.1795,4.5824,13.88
2021-03-17,1615939200,1141.0,82.84991304347827,19.298434782608695,4.61,13.954652173913043
2021-03-18,1616025600,1141.0,90.87117391304346,18.963,3.7619999999999996,13.325608695652173
2021-03-19,1616112000,1141.0,85.3875,20.43433333333333,4.633652173913044,17.4005
2021-03-20,1616198400,1141.0,93.65804347826086,19.94604347826087,6.9976315789473675,21.84678260869565
2021-03-21,1616284800,1141.0,93.59465217391305,18.454434782608697,4.520882352941177,12.46125
2021-03-22,1616371200,1141.0,97.717375,18.050916666666666,1.7274,4.8464583333333335
2021-03-23,1616457600,1141.0,94.25855,19.36185,3.3821764705882353,6.274800000000001
2021-03-24,1616544000,1141.0,52.630545454545455,22.672818181818183,6.392047619047619,10.228619047619047
2021-03-25,1616630400,1141.0,58.124875,20.97875,4.485894736842106,10.252347826086957
2021-03-26,1616716800,1141.0,74.761625,19.49716666666667,4.730818181818182,16.362375
2021-03-27,1616803200,1141.0,58.87033333333334,20.669166666666666,7.064272727272726,13.981875
2021-03-28,1616889600,1141.0,66.397625,19.556833333333334,4.878142857142858,15.41175
2021-03-29,1616976000,1141.0,61.47108333333333,19.731458333333332,6.001904761904761,21.130791666666667
2021-03-30,1617062400,1141.0,63.967333333333336,17.777125,6.900416666666666,18.383708333333335
2021-03-31,1617148800,1141.0,63.44720833333333,18.912166666666668,6.279736842105263,16.842583333333334
2021-04-01,1617235200,1141.0,78.09021739130435,19.060391304347828,4.560380952380952,13.768416666666667
2021-04-02,1617321600,1141.0,77.33416666666666,19.584541666666667,5.370958333333333,13.349166666666667
2021-04-03,1617408000,1141.0,75.74708695652174,20.543347826086958,4.221111111111111,9.896565217391304
2021-04-04,1617494400,1141.0,71.84266666666666,22.32166666666667,7.471304347826087,16.697166666666664
2021-04-05,1617580800,1141.0,80.42516666666667,21.923708333333334,6.9301666666666675,19.549625000000002
2021-04-06,1617667200,1141.0,82.991,21.180833333333336,3.5376956521739134,12.045041666666668
2021-04-07,1617753600,1141.0,88.39933333333333,20.02725,2.640421052631579,9.143083333333333
2021-04-08,1617840000,1141.0,81.01641666666667,20.155625,3.429,8.752708333333333
2021-04-09,1617926400,1141.0,67.839375,21.3715,7.741681818181818,24.808000000000003
2021-04-10,1618012800,1141.0,47.35575,17.241416666666666,6.540708333333334,12.372916666666667
2021-04-11,1618099200,1141.0,42.09625,13.749875000000001,3.6870000000000003,10.132708333333333
2021-04-12,1618185600,1141.0,58.18875,13.643666666666666,9.375375,21.500541666666667
2021-04-13,1618272000,1141.0,59.842375000000004,16.450708333333335,6.306521739130435,15.478708333333332
2021-04-14,1618358400,1141.0,33.942875,21.201666666666664,5.455136363636364,20.455772727272727
2021-04-15,1618444800,1141.0,40.41927272727273,19.569863636363635,11.037238095238095,27.155043478260872
2021-04-16,1618531200,1141.0,64.05541666666666,16.699416666666668,6.411041666666667,21.49683333333333
2021-04-17,1618617600,1141.0,76.61475,14.191125,10.520999999999999,22.643208333333334
2021-04-18,1618704000,1141.0,75.943875,15.133375000000001,,18.5735
2021-04-19,1618790400,1141.0,67.425125,16.083125,13.753066666666665,27.069541666666666
2021-04-20,1618876800,1141.0,50.325916666666664,17.311375,7.839125,22.148416666666666
2021-04-21,1618963200,1141.0,61.404833333333336,13.998708333333333,7.843304347826086,16.027791666666666
2021-04-22,1619049600,1141.0,49.48008333333333,13.252916666666666,10.534541666666668,21.942458333333335
2021-04-23,1619136000,1141.0,61.08425,14.116416666666666,12.003916666666667,24.832666666666668
2021-04-24,1619222400,1141.0,66.05470833333334,14.901666666666666,13.427304347826086,23.123208333333334
2021-04-25,1619308800,1141.0,76.07970833333333,15.093916666666667,7.021,15.463625
2021-04-26,1619395200,1141.0,74.623375,16.206791666666668,17.252958333333336,35.188250000000004
2021-04-27,1619481600,1141.0,75.23216666666666,16.811625,25.170374999999996,32.808708333333335
