datetime_utc,HUMID_DSI,TEMP_DSI,PM2.5_DSI,PM10_DSI
2021-02-28 13:00:00,42.93333333333333,23.33,1.671115436953356,1.779999999999962
2021-02-28 14:00:00,47.0,24.44,8.85907442358534,6.711499999999965
2021-02-28 15:00:00,47.0,24.44,8.164782930558287,6.292833333333307
2021-02-28 16:00:00,47.0,24.44,7.633854141772948,5.865666666666566
2021-02-28 17:00:00,47.0,24.44,7.838057522075122,5.958333333333299
2021-02-28 18:00:00,47.99999999999999,24.44,7.062084676927279,5.584833333333255
2021-02-28 19:00:00,47.0,24.44,7.470491437531365,5.682833333333291
2021-02-28 20:00:00,48.06666666666666,24.183333333333334,6.694518592383654,5.345333333333264
2021-02-28 21:00:00,44.36666666666665,22.926666666666666,5.510138986631722,4.452333333333263
2021-02-28 22:00:00,46.3,21.52,5.142572902088096,4.185999999999924
2021-02-28 23:00:00,48.46666666666667,21.39,8.20562360661875,6.089999999999922
2021-03-01 00:00:00,48.899999999999984,21.96333333333333,12.330531888719948,8.831499999999924
2021-03-01 01:00:00,45.86666666666666,22.201666666666664,16.087874086277523,11.095833333333244
2021-03-01 02:00:00,45.033333333333324,22.22,17.884863832935586,12.35966666666664
2021-03-01 03:00:00,41.49999999999999,22.276666666666664,16.33291814264003,11.771833333333255
2021-03-01 04:00:00,43.03333333333333,22.63,14.004999607196758,9.893999999999942
2021-03-01 05:00:00,38.699999999999996,23.183333333333334,15.883670705975483,11.627833333333259
2021-03-01 06:00:00,39.26666666666666,22.78,15.475263945371392,11.492666666666564
2021-03-01 07:00:00,41.066666666666656,22.22,12.820620001444828,9.611999999999915
2021-03-01 08:00:00,42.96666666666666,23.110000000000003,15.516104621431854,11.451333333333244
2021-03-01 09:00:00,45.99999999999999,24.293333333333333,18.70167735414376,13.508666666666594
2021-03-01 10:00:00,47.26666666666666,24.96333333333334,20.621189128982945,14.96583333333326
2021-03-01 11:00:00,47.76666666666666,25.000000000000004,21.397161974130658,15.441166666666561
2021-03-01 12:00:00,47.13333333333334,25.000000000000004,19.967738312016355,14.60716666666663
2021-03-01 13:00:00,47.0,25.000000000000004,18.865040058385343,13.799833333333293
2021-03-01 14:00:00,47.0,25.000000000000004,19.273446818989427,14.599666666666582
